English	Pin Yin	Chinese	Audio	SpoodFed order
I just want to love one person really well.	Wǒ zhǐ xiǎng hǎohǎo ài yī gè rén.	我只想好好儿爱一个人。	[sound:R107-06.mp3]	430
Work really hard, and you can pass the examination.	hǎohǎo nǔlì, nǐ jiù néng tōngguò kǎoshì .	好好努力，你就能通过考试。	[sound:334668.mp3]	431
This is my room.	Zhè shì wǒ de fángjiān.	这是我的房间。	[sound:tmptcy4f2.mp3]	432
Don't look into my room.	bùyào wǎng wǒ fángjiān lǐ kàn. (also xiang4)	不要往我房间里看。	[sound:333189.mp3]	433
I am going back to my room☺, I can study there.	wǒ yào huí fángjiān le, zài nàr wǒ kěyǐ xuéxí.	我要回房间了，在那儿我可以学习。	[sound:332540.mp3]	434
What is my room number?	wǒ de fángjiān hào shì duōshao?	我的房间号是多少？	[sound:332881.mp3]	435
He knows this teacher. (polite)	Tā rènshi zhè wèi lǎoshī.	他认识这位老师。	[sound:G003-05.mp3]	436
Do you know the teacher?	Nǐ rènshi zhèwèi lǎoshī ma?	你认识这位老师吗？	[sound:G003-06.mp3]	437
I want to see this movie.	wǒ xiǎng kàn zhè bù diànyǐng .	我想看这部电影。	[sound:333946.mp3]	438
He will go buy a television.	Tā yào qù mǎi diànshì.	他要去买电视。	[sound:R017-07.mp3]	439
Do you like to watch TV?	Nǐ xǐhuan kàn diànshì ma?	你喜欢看电视吗？	[sound:G023-02.mp3]	440
I don't like to watch TV.	Wǒ bù xǐhuan kàn diànshì.	我不喜欢看电视。	[sound:G023-03.mp3]	441
Nobody believes what I say. <br /> Nobody believed what I said.	méiyǒurén xiāngxìn wǒ shuō dehuà .	没有人相信我说的话。	[sound:333942.mp3]	442
This is your computer.	Zhè shì nǐ de diànnǎo.	这是你的电脑。	[sound:R010-05.mp3]	443
Whose computer is this?	Zhè shì shéi de diànnǎo?	这是谁的电脑？	[sound:G034-05.mp3]	444
This is a secondary problem.	Zhè shì cìyào de wèntí.	这是次要的问题。	[sound:tmpsc7a89.mp3]	445
She is a doctor.	tā shì yīshēng. (also yi wèi/míng)	她是医生。	[sound:334971.mp3]	446
Are you a doctor?<br />No, I'm not. I'm a teacher.	Nǐ shì yīshēng ma?<br />Bú shì. Wǒ shì lǎoshī.	A你是医生吗?<br/>B不是。我是老师。	[sound:R001-DLG.mp3]	447
We arrived here fast, didn't we?	wǒmen hěn kuài jiù dào zhèr le, bù shì ma?	我们很快就到这儿了，不是吗？	[sound:334593.mp3]	448
You can buy whichever you like, but not both.	nǐ kěyǐ mǎi nǐ xǐhuān de nà ge , ér bù shì liǎng ge dōu mǎi .	你可以买你喜欢的那个，而不是两个都买。	[sound:333338.mp3]	449
If I had known sooner that were you here, I would have come at once.	rúguǒ wǒ zǎo zhīdào nǐ zài zhèr dehuà, wǒ mǎshàng jiù lái le.<div>(also wo jiu mashang...)</div>	如果我早知道你在这儿的话，我马上就来了。	[sound:334633.mp3]	450
If I had known earlier, I wouldn't have talked with her like this.	rúguǒ wǒ zǎo zhīdào, wǒ bù huì gēn tā shuō zhèzhǒng huà .	如果我早知道，我不会跟她说这种话。	[sound:334781.mp3]	451
What study method do you use?	Nǐ yòng shénme fāngfǎ xuéxí?	你用什么方法学习？	[sound:R071-02.mp3]	452
Let me introduce my good friend.	Ràng wǒ jièshào yīxià wǒ de hǎopéngyou.	让我介绍一下我的好朋友。	[sound:G044-03.mp3]	453
He's got an opportunity.	Tā huòdé le yī gè jīhuì.	他获得了一个机会。	[sound:tmpgac5cw.mp3]	454
She's just bought a car.	Tā gāng mǎile yī liàng chē.	她刚买了一辆车。	[sound:tmphtbip2.mp3]	455
Next month is February.	Xià gè yuè shì èryuè.	下个月是二月。	[sound:tmppruqfc.mp3]	456
The teacher cannot have said such a thing.	lǎoshī bù kěnéng shuō guò zhè yàng de shì .	老师不可能说过这样的事。	[sound:332990.mp3]	457
Everyone, please do some research on this problem.	Zhè gè wèntí, qǐng dàjiā yánjiū yīxià.	这个问题，请大家研究一下。	[sound:tmp74_39b.mp3]	458
Yesterday, he left Beijing and went to Shanghai.	Zuótiān tā líkāi Běijīng qù Shànghǎi le.	昨天他离开北京去上海了。	[sound:tmpbumayg.mp3]	459
They saw a movie yesterday.	Tāmen zuótiān kàn diànyǐng le.	他们昨天看电影了。	[sound:R024-02.mp3]	460
Was Ken at home yesterday?	Ken zuótiān zài jiā ma ?	Ken昨天在家吗？	[sound:333940.mp3]	461
She saw a big, tall man yesterday.	tā zuótiān kànjiàn yī ge gāodà de nánrén .	她昨天看见一个高大的男人。	[sound:333764.mp3]	462
Please be seated.	Qǐng zuò.	请坐。	[sound:tmp07n6q8.mp3]	463
She likes little dogs.	Tā xǐhuan xiǎo gǒu.	她喜欢小狗。	[sound:tmppccosa.mp3]	464
That dog is very cute.	Nà zhī gǒu hěn kě'ài.	那只狗很可爱。	[sound:tmpb2h_me.mp3]	465
I have a little dog.	Wǒ yǒu yī zhī xiǎo gǒu.	我有一只小狗。	[sound:tmpevvqzs.mp3]	466
Ken's dog is very big.	Ken de gǒu hěn dà .	Ken的狗很大。	[sound:334687.mp3]	467
These two little dogs are really cute.	Zhè liǎng zhī xiǎo gǒu zhēn kě'ài. (no zhexie, because you know it's 2)	这两只小狗真可爱。	[sound:tmp3mp57z.mp3]	468
How old is she this year?	Tā jīnnián jǐ suì le?	她今年几岁了？	[sound:tmpintdsj.mp3]	469
They went to see a love movie.	Tāmen qù kàn le yī bù àiqíng diànyǐng.	他们去看了一部爱情电影。	[sound:tmp7a3zbm.mp3]	470
Everybody plays the game of love.	dàjiā dōu wán àiqíng yóuxì .	大家都玩爱情游戏。	[sound:334037.mp3]	471
Thank you!	Xièxie nín.	谢谢您。	[sound:tmp8pxzuh.mp3]	472
Thanks for your answer. (polite)	Xièxie nín de huídá.	谢谢您的回答。	[sound:tmpxjgjub.mp3]	473
Thank you for your help. (polite)	Xièxie nín de bāngzhù.	谢谢您的帮助。	[sound:tmptzghgt.mp3]	474
"Thank you for helping me." "It's nothing"	xièxie nǐ bāng le wǒ. méi shénme.	“谢谢你帮了我。”“没什么。”	[sound:334472.mp3]	475
Without you, I couldn't have done it. Thank you.	méiyǒu nǐ, wǒ wúfǎ zuòdào, xièxie .	没有你我无法做到，谢谢。	[sound:334160.mp3]	476
I can't believe my eyes.	wǒ wúfǎ xiāngxìn zìjǐ de yǎnjing .	我无法相信自己的眼睛。	[sound:332561.mp3]	477
Such a method will not solve this problem.	Zhè zhǒng bànfǎ wúfǎ jiějué zhè gè wèntí.	这种办法无法解决这个问题。	[sound:tmpvthm1k.mp3]	478
He is a professor.	Tā shì jiàoshòu.	他是教授。	[sound:tmpawo9oe.mp3]	479
Let me know if I need to make any changes.	ràng wǒ zhīdào wǒ shìfǒu xūyào gǎibiàn .	让我知道我是否需要改变。	[sound:334156.mp3]	480
I don't understand Chinese.	Wǒ bù dǒng Zhōngwén.	我不懂中文。	[sound:tmp99xe3g.mp3]	481
I don't understand what the teacher says.	Wǒ tīng bù dǒng lǎoshī shuōde huà.	我听不懂老师说的话。	[sound:R038-03.mp3]	482
I don't understand what he's saying.	Wǒ tīng bù dǒng tā shuōde huà.	我听不懂他说的话。	[sound:G038-07.mp3]	483
I understand.	Wǒ dǒng le.	我懂了。	[sound:tmpgiskrg.mp3]	484
I understand.	Wǒ dǒng le.	我懂了。	[sound:tmptzz9oe.mp3]	485
I sort of understand.	wǒ dàgài dǒng le. (also ming bai)	我大概懂了。	[sound:333776.mp3]	486
Someone went in.	Yǒu rén jìnqù le.	有人进去了。	[sound:tmpyupmjp.mp3]	487
Let me in.	ràng wǒ jìnqù .	让我进去。	[sound:333350.mp3]	488
I dropped/lost my money.	Wǒde qián diào le.	我的钱掉了。	[sound:tmpp8wkyj.mp3]	489
You finally gonna go, or not?	Nǐ dàodǐ qù bu qù?	你到底去不去？	[sound:tmplyec9l.mp3]	490
This matter is finally solved.	Zhè jiàn shìqing dàodǐ shì jiějué le.	这件事情到底是解决了。	[sound:tmpxw9oyp.mp3]	491
There are only two people who know this matter.	Zhǐ yǒu liǎngge rén zhīdào zhèjiàn shìqing.	只有两个人知道这件事情。	[sound:tmp5ub606.mp3]	492
He runs very fast.	Tā pǎo de hěn kuài.	他跑得很快。	[sound:tmp14w0be.mp3]	493
That student runs fast, doesn't he?	nà ge xuésheng pǎo de hěn kuài, bù shì ma ?	那个学生跑得很快，不是吗？	[sound:332865.mp3]	494
He runs really fast.	Tā pǎo de zhēn kuài.	他跑得真快。	[sound:tmpatcyws.mp3]	495
Bill can run faster than Bob.	Bill pǎo de bǐ Bob kuài .	Bill跑得比Bob快。	[sound:333650.mp3]	496
This dog runs really really really fast!	zhè gǒu pǎo de duō kuài ā !	这狗跑得多快啊！	[sound:332605.mp3]	497
He ran as fast as he could.	tā pǎo de néng yǒu duō kuài jiù yǒu duō kuài .	他跑得能有多快就有多快。	[sound:335082.mp3]	498
I've run three miles.	Wǒ pǎole sān lǐlù.	我跑了3里路。	[sound:tmprldpwj.mp3]	499
She ran one section of road.	Tā pǎo le yī duàn lù.	她跑了一段路。	[sound:tmpawf4pb.mp3]	500
Horses run really fast.	Mǎ pǎo de zhēn kuài.	马跑得真快。	[sound:tmpedrceh.mp3]	501
Regardless of what was asked, she was able to answer.	bùguǎn wèn le shénme , tā dōu néng huídá .	不管问了什么，她都能回答。	[sound:334250.mp3]	502
Anybody is (in the general case) better than nobody.	bùguǎn shì shéi zǒng bǐ méi rén hǎo.	不管是谁总比没人好。	[sound:333892.mp3]	503
He has more money than he can spend.	tā yǒu huā bù wán de qián.	他有花不完的钱。	[sound:333408.mp3]	504
These flowers are very pretty.	Zhèxiē huā hěn piàoliang.	这些花很漂亮。	[sound:tmp5o1doj.mp3]	505
Her eyes are pretty.	Tā de yǎnjing hěn piàoliang.	她的眼睛很漂亮。	[sound:tmpytkp1u.mp3]	506
Your clothes are very pretty.	Nǐde yīfu hěn piàoliang.	你的衣服很漂亮。	[sound:tmpodgcn1.mp3]	507
That is a pretty place.	Nàli shì gè piàoliang de dìfang.	那里是个漂亮的地方。	[sound:R026-05.mp3]	508
Are you afraid of heights?	Nǐ pà gāo ma?	你怕高吗？	[sound:R066-02.mp3]	509
He's afraid of dogs. <br /> He is afraid of dogs.	tā pà gǒu .	他怕狗。	[sound:334621.mp3]	510
I'll arrange it, I'll ask someone to go to your home and pick you up.	wǒ huì ānpái yīxià, jiào gèrén qù nǐ jiā jiē nǐ .	我会安排一下，叫个人去你家接你。	[sound:334326.mp3]	511
A room has been arranged for you. (polite)	Fángjiān wèi nín ānpái hǎo le.	房间为您安排好了。	[sound:tmpjwha1w.mp3]	512
I never saw this movie before.	Wǒ yǐqián méi kànguò zhè gè diànyǐng.	我以前没看过这个电影。	[sound:R074-03.mp3]	513
I'll already be gone before you come back.	nǐ huílai zhīqián wǒ yǐjīng zǒu le.	你回来之前我已经走了。	[sound:333846.mp3]	514
It won't start before eight-thirty. <br /> It doesn't start before eight thirty.	8 diǎn bàn zhīqián bùhuì kāishǐ .	8点半之前不会开始。	[sound:334462.mp3]	515
What do you think I've been doing?	nǐ juéde wǒ zhīqián zài zuò shénme? &nbsp;(also shi4 zai4 ..)	你觉得我之前在做什么？	[sound:335037.mp3]	516
He asked me to arrive at the company before three o'clock.	Tā yāoqiú wǒ sān diǎn zhīqián dào gōngsī.	他要求我三点之前到公司。	[sound:tmpshj9gn.mp3]	517
The game has begun.	Bǐsài kāishǐ le.	比赛开始了。	[sound:tmpqoks47.mp3]	518
We're in a meeting right now.	Wǒmen zhèngzài kāihuì.	我们正在开会。	[sound:tmphd4yrq.mp3]	519
Are you coming to the meeting?<br />I'm coming.	Nǐ yào lái kāihuì ma?<br />Lái.	A你要来开会吗？<br/>B来。	[sound:R030-DLG.mp3]	520
There's a policeman over there.	Nàli yǒu ge jǐngchá.	那里有个警察。	[sound:tmpl9ibdf.mp3]	521
The police have come.	Jǐngchá lái le.	警察来了。	[sound:tmpsfbavw.mp3]	522
I'm reading.	Wǒ zài dúshū.	我在读书。	[sound:tmpsa2sgh.mp3]	523
She said that she was happy/blessed.	tā shuō le tā hěn xìngfú .	她说了她很幸福。	[sound:334284.mp3]	524
I feel very happy/blessed.	wǒ juéde hěn xìngfú .	我觉得很幸福。	[sound:334543.mp3]	525
Their lives are happy/blessed.	Tāmen de shēnghuó hěn xìngfú.	他们的生活很幸福。	[sound:tmpuzh6j8.mp3]	526
Our life is very happy/blessed.	Wǒmen de shēnghuó hěn xìngfú.	我们的生活很幸福。	[sound:tmpy42ool.mp3]	527
They live a happy/blessed life.	tāmen shēnghuó de hěn xìngfú. (also de shenghuo)	他们生活得很幸福。	[sound:332759.mp3]	528
Give me a phone call.	Gěi wǒ dǎ diànhuà.	给我打电话。	[sound:R027-01.mp3]	529
When he gets back, shall I have him call you? Yes, thanks.	děng tā huílai, wǒ yào ràng tā gěi nǐ dǎ diànhuà ma? shì de, xièxie.<div>(also ta huilai de shihou)</div>	“等他回来，我要让他给你打电话吗？”“是的，谢谢。”	[sound:333207.mp3]	530
I should give her a phone call.	Wǒ yīnggāi gěi tā dǎ diànhuà.	我应该给她打电话。	[sound:G049-04.mp3]	531
Did you call me yesterday?<br />Yes. You didn't answer the phone.	Nǐ zuótiān gěi wǒ dǎ diànhuà le ma?<br />Duì à. Nǐ bù jiē diànhuà.	A你昨天给我打电话了吗?<br/>B对啊。你不接电话。	[sound:R027-DLG.mp3]	532
She had just arrived home when I called.	wǒ dǎ diànhuà de shíhou, tā gāng huídào jiā.	我打电话的时候，她刚回到家。	[sound:333836.mp3]	533
Can I give him a phone call?	Wǒ kěyǐ gěi tā dǎ diànhuà ma?	我可以给他打电话吗？	[sound:R028-07.mp3]	534
Please give him a phone call.	Qǐng gěi tā dǎ diànhuà.	请给他打电话。	[sound:G027-01.mp3]	535
Please give me a phone call.	Qǐng gěi wǒ dǎ diànhuà.	请给我打电话。	[sound:R027-02.mp3]	536
Can I give you a phone call?	Wǒ kěyǐ gěi nǐ dǎ diànhuà ma?	我可以给你打电话吗？	[sound:G028-05.mp3]	537
I know where he lives.	wǒ zhīdào tā zhù nǎr .	我知道他住哪儿。	[sound:333770.mp3]	538
I wonder where she has gone.	wǒ xiǎng zhīdào tā qù nǎr le .	我想知道她去哪儿了。	[sound:334136.mp3]	539
God knows where he has gone.	tiānzhīdào tā qù nǎr le .	天知道他去哪儿了。	[sound:332961.mp3]	540
He gave us not only clothes but some money.	tā bùjǐn gěi le wǒmen yīfu, hái yǒu yīdiǎn qián .	他不仅给了我们衣服，还有一点钱。	[sound:334409.mp3]	541
He will be at home tomorrow.	tā míngtiān huì zài jiā .	他明天会在家。	[sound:333678.mp3]	542
I need to know by tomorrow.	wǒ míngtiān xūyào zhīdào.	我明天需要知道。	[sound:334716.mp3]	543
Is he able to come tomorrow?	tā míngtiān néng lái ma ?	他明天能来吗？	[sound:334610.mp3]	544
What will you be doing at this time tomorrow?	nǐ míngtiān zhè gè shíhou huì shì zài zuò shénme? (also no shi)	你明天这个时候会是在做什么？	[sound:334624.mp3]	545
I am first place!	Wǒ shì dì yī míng. (also no shi, lazy)	我是第一名。	[sound:tmpxlwhpr.mp3]	546
He achieved first place.	Tā dédào dì yī míng. (also dedao le)	他得到第一名。	[sound:tmpuey9re.mp3]	547
The meeting has begun.	Huìyì kāishǐ le.	会议开始了。	[sound:tmpoluymo.mp3]	548
The meeting was over at nine o'clock.	huìyì zài 9 diǎn jiéshù le .	会议在9点结束了。	[sound:333055.mp3]	549
The game is not over yet.	Bǐsài hái méi jiéshù.	比赛还没结束。	[sound:tmpma0qgp.mp3]	550
His work for this day is over.	Tā jiéshù le zhè tiān de gōngzuò.	他结束了这天的工作。	[sound:tmpqlfhfb.mp3]	551
She hasn't heard this news yet.	tā hái méi tīng dào zhè gè xiāoxi .	她还没听到这个消息。	[sound:334281.mp3]	552
Hearing news of her success, he was very happy.	tīngdào tā chénggōng de xiāoxi, tā hěn gāoxìng.	听到她成功的消息，他很高兴。	[sound:332579.mp3]	553
This news made her happy.	zhè xiāoxi ràng tā hěn gāoxìng .	这消息让她很高兴。	[sound:333657.mp3]	554
Steve looked very happy.	Steve kànshangqu hěn gāoxìng .	Steve看上去很高兴。	[sound:333003.mp3]	555
I'm very very happy.	Wǒ fēicháng gāoxìng.	我非常高兴。	[sound:tmpswoqzd.mp3]	556
She feels very happy.	Tā gǎndào hěn gāoxìng.	她感到很高兴。	[sound:tmpqhlm09.mp3]	557
Glad to be at your service. (polite)	Hěn gāoxìng wèi nín fúwù.	很高兴为您服务。	[sound:tmp_ipxdc.mp3]	558
You appear to be really happy.	Nǐ kànqǐlái hěn gāoxìng.	你看起来很高兴。	[sound:G045-06.mp3]	559
He looks very young.	Tā kànqǐlái hěn niánqīng.	他看起来很年轻。	[sound:tmpc1kmrq.mp3]	560
My mother looks young.	Wǒde māma kànqǐlái hěn niánqīng.	我的妈妈看起来很年轻。	[sound:tmphvlmrj.mp3]	561
When you're young, reading many good books is a good thing.	niánqīng de shíhou duō kàn diǎn hǎo shū shì jiàn hǎo shì.<div>(also kan yi dian) &nbsp;(no kan hen dou hao shu ... means few is bad)</div>	年轻的时候多看点好书是件好事。	[sound:333659.mp3]	562
Please explain it again (polite)	Qǐng zài jiěshì yīxià.	请再解释一下。	[sound:tmpf12jha.mp3]	563
You want me to explain it to you ... impossible!	yào wǒ jiěshì gěi nǐ tīng shì bù kěnéng de .	要我解释给你听是不可能的。	[sound:334169.mp3]	564
I can't explain it either.	wǒ yě wúfǎ jiěshì .	我也无法解释。	[sound:335045.mp3]	565
Can I be friends with you?	Kěyǐ hé nǐ jiāo ge péngyou ma?	可以和你交个朋友吗？	[sound:tmph_bbyl.mp3]	566
Do you like your coworkers?	Nǐ xǐhuan nǐ tóngshì ma?	你喜欢你同事吗？	[sound:G002-02.mp3]	567
My coworker doesn't have a computer.	Wǒde tóngshì méi yǒu diànnǎo.	我的同事没有电脑。	[sound:G011-07.mp3]	568
I very much like my coworkers.	Wǒ hěn xǐhuan wǒ tóngshì.	我很喜欢我同事。	[sound:G002-03.mp3]	569
Is your coworker an American?	Nǐ de tóngshì shì Měiguórén ma?	你的同事是美国人吗？	[sound:R001-04.mp3]	570
My coworker has a cell phone.	Wǒ de tóngshì yǒu shǒujī.	我的同事有手机。	[sound:R011-03.mp3]	571
When will your coworker come to China?	Nǐde tóngshì shénme shíhòu lái Zhōngguó?	你的同事什么时候来中国？	[sound:G031-02.mp3]	572
He came here for what purpose?	tā lái zhèli de mùdì shì shénme ?	他来这里的目的是什么？	[sound:334579.mp3]	573
She's young and beautiful.	Tā niánqīng ér měilì. (also you4)	她年轻而美丽。	[sound:tmpujkzee.mp3]	574
She's young and beautiful.	Tā niánqīng yòu měilì. (also er2)	她年轻又美丽。	[sound:tmp1ugpni.mp3]	575
Allow me to introduce you, these are my parents.	Ràng wǒ lái jièshào yíxià, zhè shì wǒ fùmǔ.	让我来介绍一下,这是我父母。	[sound:G044-02.mp3]	576
My parents aren't old yet.	wǒ fùmǔ hái bù lǎo .	我父母还不老。	[sound:333789.mp3]	577
I will forever love my parents.	Wǒ yǒngyuǎn ài wǒde fùmǔ.	我永远爱我的父母。	[sound:tmpir3wyu.mp3]	578
What is your work?<br />I am a journalist.	Nǐde gōngzuò shì shénme?<br />Wǒ shì jìzhě.	A你的工作是什么?<br/>B我是记者。	[sound:R020-DLG.mp3]	579
I live next to school.	Wǒ zhù zài xuéxiào de pángbiān.	我住在学校的旁边。	[sound:tmplt8tfe.mp3]	580
The man sitting next to me spoke to me.	zuòzài wǒ pángbiān de nánrén gēn wǒ shuōhuà le .	坐在我旁边的男人跟我说话了。	[sound:334075.mp3]	581
I sat by his side.	wǒ zuò zài tā pángbiān. (also de)	我坐在他旁边。	[sound:334889.mp3]	582
When will you go to Hong Kong?	Nǐ shénme shíhòu yào qù Xiānggǎng?	你什么时候要去香港？	[sound:G031-03.mp3]	583
The flowers are fragrant.	Huā hěn xiāng.	花很香。	[sound:tmpwv5iz4.mp3]	584
She's sleeping soundly.	Tā shuì de hěn xiāng.	她睡得很香。	[sound:tmpj7twla.mp3]	585
Except for him, the other people all slept.	Chúle tā, lìngwài de jǐ gè rén dōu shuì le.	除了他，另外的几个人都睡了。	[sound:tmpap33qs.mp3]	586
We've graduated!	Wǒmen bìyè le!	我们毕业了！	[sound:tmp_i6bzm.mp3]	587
First I want to talk about…	Shǒuxiān wǒ yào tán de shì ……	首先我要谈的是……	[sound:tmpmiopxl.mp3]	588
They left there the day before yesterday.	qiántiān, tāmen líkāi le nàr .	前天，他们离开了那儿。	[sound:333771.mp3]	589
Let me consider a bit.	Ràng wǒ kǎolǜ yī xià.	让我考虑一下。	[sound:tmpv_jjzw.mp3]	590
They're discussing some problems.	Tāmen zài tǎolùn wèntí.	他们在讨论问题。	[sound:tmppuzt76.mp3]	591
This problem is being discussed now.	zhè wèntí zhèngzài bèi tǎolùn. (zhege is better)	这问题正在被讨论。	[sound:333526.mp3]	592
This is believed to be an important matter.	zhè bèi rènwéi shì yī jiàn dàshì.	这被认为是一件大事。	[sound:332824.mp3]	593
My son can walk!	Érzi néng zǒulù le!	儿子能走路了！	[sound:tmpxdpet7.mp3]	594
Without a car, he can only walk.	Méiyǒu chē, tā zhǐhǎo zǒulù.	没有车，他只好走路。	[sound:tmp9xzjds.mp3]	595
Let's go play.	Zánmen qù wánr ba.	咱们去玩吧。	[sound:tmptwz8rk.mp3]	596
It's too hot.	Tài rè le.	太热了。	[sound:tmp4qjskn.mp3]	597
She's my older sister.	Tā shì wǒ de jiějie.	她是我的姐姐。	[sound:tmp7imuuj.mp3]	598
When will your older sister come to China?	Nǐ jiějie shénme shíhòu lái Zhōngguó?	你姐姐什么时候来中国？	[sound:R031-02.mp3]	599
Let me introduce my older sister.	Ràng wǒ jièshào yī xià wǒ jiějie.	让我介绍一下我姐姐。	[sound:R044-03.mp3]	600
Do you know my older sister?	Nǐ rènshi wǒ jiějie ma?	你认识我姐姐吗？	[sound:R003-06.mp3]	601
Few people think so.	hěn shǎo rén zhème rènwéi .	很少人这么认为。	[sound:332422.mp3]	602
His room is a mess.	Tāde fángjiān hěn luàn.	他的房间很乱。	[sound:tmpyijhxv.mp3]	603
Excuse me, where can I go online?	Qǐngwèn, nǎli kěyǐ shàngwǎng?	请问,哪里可以上网？	[sound:R028-04.mp3]	604
They insist that he should go.	tāmen jiānchí ràng tā zǒu .	他们坚持让他走。	[sound:333037.mp3]	605
My father insisted that I go to that place and take a look.	wǒ bàba jiānchí yào wǒ qù nà dìfang kànkan .	我爸爸坚持要我去那地方看看。	[sound:333192.mp3]	606
He still insists he is correct.&nbsp;(formal)	Tā réngrán jiānchí tā shì duì de.	他仍然坚持他是对的。	[sound:tmppxnadh.mp3]	607
I'll call you around five o'clock.	wǒ huì zài 5 diǎn zuǒyòu dǎ diàn huà gěi nǐ .	我会在5点左右打电话给你。	[sound:333185.mp3]	608
How many languages do you speak?	Nǐ huì shuō jǐ zhǒng yǔyán?	你会说几种语言？	[sound:tmpfbpk9o.mp3]	609
I don't know this city, and what's more, I don't understand the language there.	wǒ bùzhī dào zhè gè chéngshì, érqiě wǒ yīdiǎn dōu bù dǒng nàli de yǔyán.	我不知道这个城市，而且我一点都不懂那里的语言。	[sound:333895.mp3]	610
She's in the middle.	Tā zài zhōngjiān.	她在中间。	[sound:tmpcr6hz1.mp3]	611
I've been to Beijing.	Wǒ qùguò Běijīng.	我去过北京。	[sound:tmpw3i8cv.mp3]	612
I have been to the United States.	Wǒ qùguò Měiguó.	我去过美国。	[sound:G012-01.mp3]	613
I haven't been to China.	Wǒ méi qùguò Zhōngguó.	我没去过中国。	[sound:G012-03.mp3]	614
Have you been to Shanghai?	Nǐ qùguò Shànghǎi ma?	你去过上海吗？	[sound:G012-05.mp3]	615
I have been to Beijing.	Wǒ qùguò Běijīng.	我去过北京。	[sound:G012-06.mp3]	616
I haven't been to the United States.	Wǒ méi qùguò Měiguó.	我没去过美国。	[sound:R012-02.mp3]	617
Why haven't you been to Shanghai?	Nǐ wèishénme méi qùguò Shànghǎi?	你为什么没去过上海？	[sound:G035-02.mp3]	618
I haven't been to Beijing.	Wǒ méi qùguò Běijīng.	我没去过北京。	[sound:G012-07.mp3]	619
I have been to Shanghai.	Wǒ qùguò Shànghǎi.	我去过上海。	[sound:R012-05.mp3]	620
Have you been to Beijing?	Nǐ qùguò Běijīng ma?	你去过北京吗？	[sound:R012-06.mp3]	621
Have you been to China?	Nǐ qùguò Zhōngguó ma?	你去过中国吗？	[sound:R012-03.mp3]	622
Have you been to the United States?	Nǐ qùguò Měiguó ma?	你去过美国吗？	[sound:R012-07.mp3]	623
The car won't go.	Chē bù dòng le.	车不动了。	[sound:tmpiq2qbl.mp3]	624
Let's get off here, ok!	wǒmen zài zhèli xiàchē ba .	我们在这里下车吧。	[sound:332792.mp3]	625
I'll get off at the next station. <br /> I'm getting off at the next station. <br /> I am getting off at the next station.	wǒ zài xià yī zhàn xiàchē .	我在下一站下车。	[sound:334085.mp3]	626
Everyone is standing.	Dàjiā dōu zhànzhe. (also shi, zai, or both)	大家都站着。	[sound:tmp7zvgqu.mp3]	627
Take it / hold it	ná zhe .	拿着。	[sound:333669.mp3]	628
It's snowing.	Zhèng zài xiàzhe xuě.	正在下着雪。	[sound:tmpwtrxvq.mp3]	629
Here, snow is everywhere.	Zhèli quán shì xuě.	这里全是雪。	[sound:tmp7z1t3v.mp3]	630
Snow is very white.	Xuě hěn bái.	雪很白。	[sound:tmpfb9q_g.mp3]	631
I can teach you how to drive. <br /> I'll teach you how to drive a car.	wǒ huì jiāo nǐ zěnme kāichē .	我会教你怎么开车。	[sound:332775.mp3]	632
He is learning how to drive a car.	tā zhèngzài xué zěnme kāichē. (also just zai)	他正在学怎么开车。	[sound:333901.mp3]	633
We should tell children how to protect themselves.	wǒmen yīnggāi gàosu háizi zěnme bǎohù zìjǐ.<div>(also ruhe) (no ziji baohu)</div>	我们应该告诉孩子怎么保护自己。	[sound:333347.mp3]	634
She's my wife.	Tā shì wǒ de qīzi.	她是我的妻子。	[sound:tmpgiciuf.mp3]	635
Now is not ok.	Xiànzài bù xíng.	现在不行。	[sound:R036-07.mp3]	636
What does your son want to be when he grows up?	nǐ érzi zhǎngdà le xiǎng zuò shénme ?	你儿子长大了想做什么？	[sound:334630.mp3]	637
She's already married.	Tā yǐjing jiéhūn le.	她已经结婚了。	[sound:tmpeeimwn.mp3]	638
He married again.	Tā yòu jiéhūn le.	他又结婚了。	[sound:tmpllzson.mp3]	639
They've gotten married.	Tāmen jiéhūn le.	他们结婚了。	[sound:tmpo2yq44.mp3]	640
I don't know when she got married.	wǒ bùzhī dào tā shì shénme shíhou jiéhūn de. (also shi jiehun)	我不知道她是什么时候结婚的。	[sound:334408.mp3]	641
I got married 8 years ago.	wǒ 8 nián qián jiù jiéhūn le .	我8年前就结婚了。	[sound:334153.mp3]	642
No one ran ahead of him.	Méi yǒu rén pǎo zài tā qiánmiàn.	没有人跑在他前面。	[sound:332726.mp3]	643
The exam is soon!	Kuài yào kǎoshì le.	快要考试了。	[sound:tmpameyvv.mp3]	644
He drives to work.	Tā kāichē qù shàngbān.	他开车去上班。	[sound:tmpptaygh.mp3]	645
He is still at work.	Tā hái zài shàngbān.	他还在上班。	[sound:tmp6h1nmt.mp3]	646
How does he get to work?	Tā zěnme qù shàngbān?	他怎么去上班？	[sound:R018-01.mp3]	647
How do you get to work?	Nǐ zěnme qù shàngbān?	你怎么去上班？	[sound:R018-06.mp3]	648
I would like to eat food.	Wǒ xiǎng chī fàn.	我想吃饭。	[sound:G015-07.mp3]	649
