order	sentence	pinyin	english
1737	作业做完了。	Zuòyè zuòwán le.	Homework's done☺.
1738	我的作业早就做完了。	Wǒ de zuòyè zǎo jiù zuòwán le.	I've finished my homework earlier.
1739	这里一共有五个人。	Zhèli yīgòng yǒu wǔ gè rén.	There are five people here in total.
1740	他家一共有四口人。	Tā jiā yīgòng yǒu sì kǒu rén.	Altogether there are four people in his family.
1741	他是卡车司机。	Tā shì kǎchē sījī.	He's a truck driver.
1742	天渐渐黑了。	Tiān jiànjiàn hēi le.	It's gradually getting dark ☺.
1743	中国计划进行政治改革。	Zhōngguó jìhuà jìnxíng zhèngzhì gǎigé.	China is planning to implement political reforms.
1744	这家公司正在改革一些老制度。	Zhè jiā gōngsī zhèngzài gǎigé yīxiē lǎo zhìdù.	This company is reforming some old systems/regulations.
1745	美国的法律制度很发达。	Měiguó de fǎlǜ zhìdù hěn fādá.	The legal system of the U.S. is highly developed.
1746	他们通过实践学习。	Tāmen tōngguò shíjiàn xuéxí.	They're learning through practice.
1747	理论从实践中来。	Lǐlùn cóng shíjiàn zhōng lái.	Theory comes from practice.
1748	亚洲一共有几个国家？	Yàzhōu yīgòng yǒu jǐ gè guójiā?	How many countries are there in Asia altogether?
1749	这张人民币是假的。	Zhè zhāng rénmínbì shì jiǎ de.	This RMB note is fake.
1750	词汇学习是句子学习的基础。	Cíhuì xuéxí shì jùzi xuéxí de jīchǔ.	Vocabulary learning is the foundation for sentence learning.
1751	学生们正在学的词汇很难记。	Xuéshengmen zhèngzài xué de cíhuì hěn nán jì.	The vocabulary the students are learning now, is hard to remember.
1752	他把这记在他的笔记本上。	tā bǎ zhè jì zài tā de bǐjìběn shàng .	He wrote this down in his notebook.
1753	他缺乏自信。	Tā quēfá zìxìn.	He lacks confidence.
1754	他在换电视频道。	Tā zài huàn diànshì píndào.	He's changing the TV channel.
1755	他的话伤害了她。	Tā de huà shānghài le tā.	His words hurt her.
1756	他的行为对她造成了很大的伤害。	Tā de xíngwéi duì tā zàochéng le hěn dà de shānghài.	His behavior caused her very great harm.
1757	厕所很干净。	Cèsuǒ hěn gānjìng.	The toilet is very clean.
1758	这是男厕所。	Zhè shì nán cèsuǒ.	This is the men's toilet.
1759	病人随时会死。	bìngrén suíshí huì sǐ.	The patient may die at any time.
1760	你听懂了吗？	Nǐ tīng dǒng le ma?	Did you understand?
1761	我听懂了。	Wǒ tīng dǒng le.	I heard/understood.
1762	没有水，我们无法生存。	méiyǒu shuǐ , wǒmen wúfǎ shēngcún .	Without water, we cannot exist. <br /> If it were not for water, we could not live.
1763	这座城市的工业很发达。	Zhè zuò chéngshì de gōngyè hěn fādá.	This city's industry is very developed.
1764	许多人在工业城市工作。	xǔduō rén zài gōngyè chéngshì gōngzuò .	Many people work in industrial cities.
1765	我们今天所认识的工业在那个时代不存在。	wǒmen jīntiān suǒ rènshi de gōngyè zài nà ge shídài bù cúnzài .	Industry as we know it today didn't exist in that era.
1766	在这个时代，没有知识是不行的。	Zài zhè gè shídài, méiyǒu zhīshi shì bù xíng de.	In this era, having no knowledge is no good.
1767	她靠着椅子睡着了。	Tā kào zhe yǐzi shuì zháo le.<div>(kao is leaning head/back, pa is supported underneath)</div>	She fell asleep leaning on a chair.
1768	这是张舒服的椅子。	zhè shì zhāng shūfu de yǐzi .	This is a comfortable chair.
1769	他是一国之君。	Tā shì yī guó zhī jūn. (also de jun)	He is the king of a country. (formal)
1770	他的发言很清楚。	Tā de fāyán hěn qīngchu.	His speech is very clear.
1771	她在会上发言。	Tā zài huì shàng fāyán.	She gave a speech at the meeting.
1772	如果相信男人的话，猪也会上树。	Rúguǒ xiāngxìn nánrén de huà, zhū yě huì shàng shù.	If you believe a man's words, pigs can also climb trees.
1773	在这次比赛中，他取得了胜利。	Zài zhè cì bǐsài zhōng, tā qǔdé le shènglì.	In this match, he achieved victory.
1774	那不是一个合适的话题。	Nà bú shì yī gè héshì de huàtí.	That is not an appropriate topic.
1775	他觉得政治不是一个合适的话题。	Tā juéde zhèngzhì bú shì yī gè héshì de huàtí.	He thinks that politics is not an appropriate topic.
1776	他穿这件衣服很合适。	Tā chuān zhè jiàn yīfu hěn héshì.	Him wearing these clothes is very appropriate.
1777	我穿小号的衣服。	Wǒ chuān xiǎo hào de yīfu.	I wear a small size of clothes.
1778	他穿了一套漂亮的衣服。	Tā chuān le yī tào piàoliang de yīfu.	He wore a beautiful set of clothes.
1779	他很熟悉这套动作。	Tā hěn shúxī zhè tào dòngzuò.	He is very familiar with this movement.
1780	很多人都追求金钱。	Hěn duō rén dōu zhuīqiú jīnqián.	Many people pursue money.
1781	他的医生命令他休息。	tā de yīshēng mìnglìng tā xiūxi .	His doctor ordered him to rest.
1782	孩子流眼泪了。	Háizi liú yǎnlèi le.	The child is crying.
1783	若不下雨，我就出发。	Ruò bù xiàyǔ, wǒ jiù chūfā.	If it doesn't rain, I will set off.
1784	若天下雨，明天就不旅游了。	Ruò tiān xià yǔ, míngtiān jiù bù lǚyóu le.	If it rains, we won't travel tomorrow☺.
1785	Jiro好像错过了火车。	Jiro hǎoxiàng cuòguò le huǒchē .	Jiro seems to have missed the train.
1786	他在信上说什么？	tā zài xìn shàng shuō shénme ?	What does he say in his letter?
1787	在中国，医生也叫大夫。	Zài Zhōngguó, yīshēng yě jiào dàifu.	In China, doctors are also called &quot;daifu&quot;.
1788	我们必须考虑到他很年轻。	wǒmen bìxū kǎolǜ dào tā hěn niánqīng .	We must consider that he is very young.
1789	大家害怕死亡。	Dàjiā hàipà sǐwáng.	Everyone is afraid of death.
1790	他丢了钱包，很着急。	Tā diū le qiánbāo, hěn zháojí.	He lost his wallet, and is very worried.
1791	没有软件，计算机就用不了。	Méiyǒu ruǎnjiàn, jìsuànjī jiù yòng bù liao.	Without software, a computer just can't be used.
1792	他买了一台计算机。	Tā mǎi le yī tái jìsuànjī.	He bought a computer.
1793	这道题计算错误。	Zhè dào tí jìsuàn cuòwù.	This problem is calculated incorrectly.
1794	他正在计算这道数学题。	Tā zhèngzài jìsuàn zhè dào shùxué tí.	He is calculating this math question.
1795	电脑在计算方面很快。	Diànnǎo zài jìsuàn fāngmiàn hěn kuài.	The calculation aspect of computers is very fast.
1796	这是思想方面的问题。	Zhè shì sīxiǎng fāngmiàn de wèntí.	This is a problem with the idealogical aspect.
1797	他在计算费用。	Tā zài jìsuàn fèiyòng.	He is calculating his expenses.
1798	留学的费用很高。	Liúxué de fèiyòng hěn gāo.	The expense of studying abroad is high.
1799	你害怕出国留学吗？	Nǐ hàipà chūguó liúxué ma?	Are you afraid to leave the country and study abroad?
1800	他出国留学了。	tā chūguó liúxué le	He left the country to study abroad ☺.
1801	她半年后就要出国了。	tā bàn nián hòu jiù yào chūguó le.	She'll leave the country in six months&nbsp;☺.
1802	毛泽东的思想影响了很多人。	Máo Zédōng de sīxiǎng yǐngxiǎng le hěn duō rén.	Mao Zedong's idealogies influenced many people.
1803	没能通过考试，她觉得很遗憾。	Méi néng tōngguò kǎoshì, tā juéde hěn yíhàn.	Having been unable pass the exam, he thought it a pity.
1804	有人死了的时候真是遗憾。	yǒu rén sǐ le de shíhou, zhēn shì yíhàn.	When somebody died, it's really a pity.
1805	他正在除雪。	Tā zhèngzài chú xuě.	He is removing the snow.
1806	妈妈正在除草。	Māma zhèngzài chú cǎo.	My mom is weeding.
1807	太阳下山了。	Tàiyáng xiàshān le.	The sun has set.
1808	学外语得学很多词汇。	Xué wàiyǔ, děi xué hěn duō cíhuì.	Learning a foreign language, you have to learn many words. (formal)
1809	我不会说外语。	Wǒ bù huì shuō wàiyǔ.	I'm unable to speak a foreign language.
1810	说外语难吗？	Shuō wàiyǔ nán ma?	Is it difficult to speak a foreign language?
1811	学外语不难。	Xué wàiyǔ bù nán.	It is not difficult to learn a foreign language.
1812	他不会说外语。	Tā bú huì shuō wàiyǔ.	He doesn't know how to speak a foreign language.
1813	学外语很难。	Xué wàiyǔ hěn nán.	It is difficult to learn a foreign language.
1814	开车要注意安全。	Kāichē yào zhùyì ānquán.	We need to pay attention to safety when driving.
1815	尤其是要注意你吃的和喝的东西。	yóuqí shì yào zhùyì nǐ chī de hé hē de dōngxi .	You especially need to pay attention to what you eat and drink.
1816	过马路时我们要注意安全。	Guò mǎlù shí wǒmen yào zhùyì ānquán.	We need to be careful when crossing the road.
1817	年轻人追求时尚。	Niánqīng rén zhuīqiú shíshàng.	Young people pursue fashion.
1818	这个年轻人的观念很时尚。	Zhè gè niánqīng rén de guānniàn hěn shíshàng.	This young person's notions are very fashionable.
1819	美国总统正在召开国家安全会议。	Měiguó zǒngtǒng zhèngzài zhàokāi guójiā ānquán huìyì.	The US President is holding a meeting on national security.
1820	这鬼天气，又下雨了。	Zhè guǐ tiānqì, yòu xiàyǔ le. (no zheme)	What ghastly weather, it's raining again!
1821	我怕鬼。	Wǒ pà guǐ.	I'm afraid of ghosts.
1822	她是我的邻居。	Tā shì wǒ de línjū.	She's my neighbor.
1823	他是我的邻居。	Tā shì wǒ de línjū.	He is my neighbor.
1824	她是年轻的艺术家。	Tā shì niánqīng de yìshùjiā.	She's a young artist.
1825	她将来会是一个有名的艺术家。	tā jiānglái huì shì yī gè yǒumíng de yìshùjiā. (also jianghui)	She will come to be a famous artist.
1826	现在六点四十分。	Xiànzài liù diǎn sì shí fēn.	(Right now) It's six forty.
1827	现在是五点四十分。	Xiànzài shì wǔ diǎn sì shí fēn.	(Right now) It's five forty.
1828	他有几分像学者。	tā yǒu jǐfēn xiàng xuézhě. (also ge)	He is somewhat like a scholar.
1829	差五分十二点。	Chà wǔfēn shí'èr diǎn.	It's five minutes to twelve.
1830	她睡得很甜。	Tā shuì de hěn tián. (also xiang1)	She's sleeping soundly.
1831	街上有很多人。	Jiēshang yǒu hěn duō rén.	There are many people in the street.
1832	街上没有人。	Jiēshang méiyǒu rén.	There's nobody in the street.
1833	街上的行人很多。	Jiēshang de xíngrén hěn duō. (also lushang)	There are many pedestrians in the street.
1834	路上的行人很少。	Lùshang de xíngrén hěn shǎo. (also jieshang)	There are very few pedestrians in the street.
1835	小强跑步很慢。	Xiǎo Qiáng pǎobù hěn màn.	Xiao Qiang runs/jogs very slowly.
1836	他每天都跑步到学校。	Tā měitiān dōu pǎobù dào xuéxiào.	He jogs to school every day.
1837	无论天气如何，他都去跑步。	Wúlùn tiānqì rúhé, tā dōu qù pǎobù. (also zongshi qu)	No matter what the weather, he always goes jogging.
1838	黄金很贵。	Huángjīn hěn guì.	Gold is very expensive.
1839	他们带儿子去公园玩。	Tāmen dài érzi qù gōngyuán wánr.	They take their son to the park to play
1840	孩子们在公园里玩得很高兴。	Háizimen zài gōngyuán lǐ wánr de hěn gāoxìng.	The children are playing happily in the park.
1841	他要跟女朋友一起去公园。	Tā yào gēn nǚpéngyou yīqǐ qù gōngyuán.	He is going to go the park with his girlfriend.
1842	我在公园遇到了Ken。	wǒ zài gōngyuán yùdào le Ken.	I ran into Ken at the park.
1843	上个周末他跟女朋友一起去公园。	Shànggè zhōumò tā gēn nǚpéngyou yīqǐ qù gōngyuán.	Last weekend he went with his girlfriend to the park.
1844	你几点可以跟我一起去公园？	Nǐ jǐdiǎn kěyǐ gēn wǒ yīqǐ qù gōngyuán?	What time can you go with me to the park?
1845	我家附近有个漂亮的公园。	wǒ jiā fùjìn yǒu gè piàoliang de gōngyuán .	There is a pretty park near my home.
1846	公园里有很多人。	gōngyuán lǐ yǒu hěn duō rén .	There are many people in the park. <br /> There were a lot of people in the park.
1847	我们过去常在公园玩。	wǒmen guòqù cháng zài gōngyuán wán.	We often used to play in the park.
1848	我们真棒。	Wǒmen zhēn bàng.	We're really amazing.
1849	爷爷85岁了，身体仍然很棒。	Yéye bā shí wǔ suì le, shēntǐ réngrán hěn bàng.	Grandpa is 85 years old. His health is still great. (formal)
1850	他的分析很深入。	Tā de fēnxī hěn shēnrù.	His analysis is in-depth.
1851	她正在倒车。	Tā zhèngzài dàochē.	She's backing the car up now.
1852	这个故事真有趣呀。	Zhè gè gùshi zhēn yǒuqù ya.	This story is really interesting!
1853	A你喜欢你的工作吗?<br/>B是的。很有趣。	Nǐ xǐhuān nǐde gōngzuò ma?<br />Shìde. Hěn yǒu qù.	Do you like your work?<br />Yeah. It's really fun.
1854	他昨天看了一部最有趣的小说。	tā zuótiān kàn le yī bù zuì yǒuqù de xiǎoshuō .	He read a most interesting novel yesterday.
1855	他给我们讲了一个有趣的故事，我们都笑了起来。	tā gěi wǒmen jiǎng le yī gè yǒuqù de gùshi, wǒmen dōu xiào le qǐlai.	He told us an amusing story, we all laughed.
1856	这个故事很有趣。	Zhè gè gùshi hěn yǒuqù.	This story is very interesting.
1857	那个地方有趣吗？	Nagè dìfang yǒuqù ma?	Is that place interesting?
1858	她给我讲了一个有趣的故事。	tā gěi wǒ jiǎng le yī gè yǒuqù de gùshi.	She told me an interesting story.
1859	你的工作有趣吗？	Nǐ de gōngzuò yǒuqù ma?	Is your work interesting?
1860	夏天到了。	Xiàtiān dào le.	Summer has arrived.
1861	夏天天气不太热。	Xiàtiān tiānqì bú tài rè.	The summer weather is not too hot.
1862	我们整个夏天都和他们待在一起。	wǒmen zhěng gè xiàtiān dōu hé tāmen dāi zài yīqǐ.	We stayed with them all summer long.
1863	在城市生活和在农村生活很不同。	zài chéngshì shēnghuó hé zài nóngcūn shēnghuó hěn bùtóng.	Living in the city and living in the country is very different.
1864	糖是甜的。	Táng shì tián de.	Sugar/candy is sweet.
1865	他的工作很辛苦。	Tā de gōngzuò hěn xīnkǔ.	His job is very toilsome.
1866	孩子应该了解父母的辛苦。	Háizi yīnggāi liǎojiě fùmǔ de xīnkǔ.	Children should understand the toils of their parents.
1867	这不是我喜欢的类型。	zhè bù shì wǒ xǐhuān de lèixíng .	This isn't the type that I like.
1868	医生在给我检查耳朵。	Yīshēng zài gěi wǒ jiǎnchá ěrduo.	The doctor is examining my ear.
1869	我们用耳朵听。	Wǒmen yòng ěrduo tīng.	We use our ears to listen.
1870	你想跟我一起吃晚饭吗？	Nǐ xiǎng gēn wǒ yīqǐ chī wǎnfàn ma?	Would you like to have dinner with me?
1871	晚饭后，我总想睡觉。	wǎnfàn hòu, wǒ zǒng xiǎng shuìjiào .	After dinner, I always want to sleep.
1872	你今天想跟我一起吃晚饭吗？	Nǐ jīntiān xiǎng gēn wǒ yī qǐ chī wǎnfàn ma?	Would you like to eat dinner with me today?
1873	你什么时候想吃晚饭？	Nǐ shénme shíhòu xiǎng chī wǎnfàn?	When would you like to eat dinner?
1874	这个周末你想跟我一起吃晚饭吗？	Zhè gè zhōumò nǐ xiǎng gēn wǒ yīqǐ chī wǎnfàn ma?	This weekend would you like to have dinner with me?
1875	好的，但我们先吃晚饭吧。	hǎo de, dàn wǒmen xiān chī wǎnfàn ba.	Good, but let's eat dinner first, ok.
1876	沙发很舒服。	Shāfā hěn shūfu.	The sofa is quite comfortable.
1877	他总是先想别人，其次才想到自己。	Tā zǒngshì xiān xiǎng biérén, qícì cái xiǎngdào zìjǐ.	He always thinks of others first, and only then thinks of himself.
1878	上个月，我们20岁的女儿生了个女孩。	shànggè yuè, wǒmen 20 suì de nǚér shēng le gè nǚhái .	Last month our 20-year-old daughter gave birth to a baby girl.
1879	我想和一个像她那样的女孩结婚。	wǒ xiǎng hé yī gè xiàng tā nà yàng de nǚhái jiéhūn .	I want to marry a kind of girl like her.
1880	他更喜欢短头发的女孩。	Tā gèng xǐhuan duǎn tóufà de nǚhái.	He prefers girls with short hair.
1881	我需要去看医生。	Wǒ xūyào qù kàn yīshēng.	I need to see a doctor.
1882	我家附近有很多商店。	Wǒ jiā fùjìn yǒu hěn duō shāngdiàn.	There are many stores near my home.
1883	那个商店有很多东西可以买。	Nà gè shāngdiàn yǒu hěn duō dōngxi kěyǐ mǎi.	That store has a lot of things you can buy.
1884	这个商店没有很多东西可以买。	Zhè gè shāngdiàn méiyǒu hěn duō dōngxi kěyǐ mǎi.	This store does not have a lot of things you can buy.
1885	她要去商店买东西。	Tā yào qù shāngdiàn mǎi dōngxi.	She will go to the store to buy things.
1886	我朋友要去商店。	Wǒ péngyou yào qù shāngdiàn.	My friend is going to the store.
1887	这个商店有很多东西可以买。	Zhè gè shāngdiàn yǒu hěn duō dōngxi kěyǐ mǎi.	This store has a lot of things you can buy.
1888	春天来了。	Chūntiān lái le.	Spring has come.
1889	春天天气真好。	Chūntiān tiānqì zhēn hǎo.	The Spring weather is really nice.
1890	春天的天气很温暖。	Chūntiān de tiānqì hěn wēnnuǎn.	The weather in spring is very warm.
1891	我每天步行去学校。	Wǒ měi tiān bùxíng qù xuéxiào.	I go by foot to school every day.
1892	她期待幸福的婚姻。	Tā qīdài xìngfú de hūnyīn.	She looks forward to a happy/blessed marriage.
1893	他的婚姻很幸福。	Tā de hūnyīn hěn xìngfú.	His marriage is very happy/blessed.
1894	我只是开玩笑。	Wǒ zhǐshì kāi wánxiào.	I was only joking.
1895	现在七点十分。	Xiànzài qī diǎn shí fēn.	(Right now) It's seven ten.
1896	她很喜欢养花。	Tā hěn xǐhuan yǎnghuā.	She really likes gardening.
1897	妈妈允许我在家里养猫。	Māma yǔnxǔ wǒ zài jiālǐ yǎng māo.	My mom allows me to raise a cat at home.
1898	医生告诉她要静养。	yīshēng gàosu tā yào jìngyǎng .	The doctor told her she needs to rest/recuperate.
1899	“你什么时候回来？”“这都要看天气。”	nǐ shénme shíhou huílai ?" zhè dōu yào kàn tiānqì .	When will you come back? "It all depends on the weather." <br /> "When will you be back?" "It all depends on the weather."
1900	他在气头上，说了所有他想说的话就回家了。	tā zàiqìtóushàng, shuō le suǒyǒu tā xiǎng shuō dehuà jiù huí jiā le.	In a fit of anger he said everything he wanted to say and went home.
1901	他喜欢红色的衣服。	Tā xǐhuan hóngsè de yīfu.	He likes red clothes.
1902	中国人过年的时候，喜欢红色。	Zhōngguó rén guònián de shíhou, xǐhuan hóngsè.	Chinese people like the color red during the Chinese New Year.
1903	他对这个城市很陌生。	Tā duì zhè gè chéngshì hěn mòshēng.	He's very unfamiliar with this city.
1904	她对我来说是一个完全陌生的人。	tā duì wǒ láishuō shì yī gè wánquán mòshēng de rén.	She's a complete stranger to me.
1905	这本书对你来说读起来太难了。	zhè běn shū duì nǐ láishuō dúqǐlai tài nán le.	This book is too difficult for you to read.
1906	你们说话影响我听课了。	Nǐmen shuō huà yǐngxiǎng wǒ tīngkè le.	You guys talking has affected my attending/listening in class!
1907	我知道他的名字，但不知道他长什么样。	wǒ zhīdào tā de míngzi, dàn bù zhīdào tā zhǎng shénme yàng.	I know him by name, but not by sight.
1908	我家房子的面积很大。	Wǒ jiā fángzi de miànjī hěn dà.	My family house's surface area is very big.
1909	大陆的面积比台湾大很多。	Dàlù de miànjī bǐ Táiwān dà hěn duō.	The surface area of the mainland is much larger than that of Taiwan.
1910	他去了某个地方。	tā qù le mǒu ge dìfang .	He went to some place.
1911	他住在公园周围的某个地方。	tā zhù zài gōngyuán zhōuwéi de mǒu ge dìfang.	He lives some place around the park.
1912	她曾试着教我汉语。	Tā céng shìzhe jiāo wǒ Hànyǔ.	She once tried to teach me Chinese.
1913	让我试试。	ràng wǒ shìshi .	Let me try.
1914	尽量试着用好你的时间。	jǐnliàng shìzhe yòng hǎo nǐ de shíjiān .	Trying your best is a good use of your time.
1915	这是一家文化交流的机构。	Zhè shì yī jiā wénhuà jiāoliú de jīgòu.	This is a cultural exchange organization.
1916	这是他们的新住处。	Zhè shì tāmen de xīn zhùchù.	This is their new residence.
1917	哦，这是什么？	ò, zhè shì shénme?	Oh, what is this?
1918	我保证会按时上班。	Wǒ bǎozhèng huì ànshí shàngbān.	I promise I'll come to work on time.
1919	从现在起我按时去工作。	Cóng xiànzài qǐ wǒ ànshí qù ɡōnɡzuò.	From now on I will go to work on time.
1920	起床的时间到了。	Qǐchuáng de shíjiān dào le.	Be-out-of-bed time has arrived.
1921	该起床了！	Gāi qǐchuáng le!	Should get out of bed!
1922	我得起床了。	Wǒ děi qǐchuáng le.	I have to get up. (formal)
1923	他们起床了吗？	Tāmen qǐchuáng le ma?	Have they gotten up?
1924	他还没起床吗？	Tā hái méi qǐchuáng ma?	Has he not gotten up yet?
1925	我们在打包东西。	Wǒmen zài dǎbāo dōngxi.	We're packing our stuff.
1926	整个夏天，我们在那里过得很愉快。	zhěng gè xiàtiān, wǒmen zài nàli guò de hěn yúkuài.	All summer, we had a delightful time there.
1927	我也过得很愉快。	wǒ yě guò de hěn yúkuài .	I also had a very delightful time.
1928	别生气嘛。	Bié shēngqì ma.	Don't be angry ......
1929	我很后悔。	Wǒ hěn hòuhuǐ.	I regret it very much.
1930	他很后悔没听妈妈的话。	Tā hěn hòuhuǐ méi tīng māma de huà.	He is very regretful that he didn't listen to what his mother said.
1931	喂，你好。	Wèi, nǐ hǎo.	Hey, how are you?
1932	请每天喂一下狗。	qǐng měi tiān wèi yīxià gǒu .	Please feed the dog every day.
1933	你今天早上喂过狗了吗？	nǐ jīntiān zǎoshang wèi guò gǒu le ma?	Did you feed the dog this morning?
1934	我觉得宗教不是一个合适的话题。	Wǒ juéde zōngjiào bú shì yī gè héshì de huàtí.	I think that religion is not an appropriate conversation topic.
1935	有一天，我会跑得像风一样快。	yǒu yī tiān, wǒ huì pǎo de xiàng fēng yīyàng kuài .	Someday, I'll be able to run fast like the wind.
1936	我觉得很无聊。	Wǒ juéde hěn wúliáo.	I feel very bored.
1937	我听说这位老师很无聊。	Wǒ tīngshuō zhè wèi lǎoshī hěn wúliáo.	I've heard that this teacher is very boring. (formal)
1938	我听说住在加拿大很无聊。	Wǒ tīngshuō zhùzài Jiānádà hěn wúliáo.	I've heard that living in Canada is very boring.
1939	住在加拿大无聊吗？	Zhù zài Jiānádà wúliáo ma?	Is living in Canada boring?
1940	他没有事情做，很无聊。	Tā méiyǒu shìqing zuò, hěn wúliáo.	He has nothing to do and is very bored.
1941	我妹妹很无聊。	Wǒ mèimèi hěn wúliáo.	My younger sister is very boring.
1942	他女朋友很无聊。	Tā nǚpéngyou hěn wúliáo.	His girlfriend is very boring.
1943	她男朋友很无聊。	Tā nánpéngyou hěn wúliáo.	Her boyfriend is very boring.
1944	我听说学习英语很无聊。	Wǒ tīngshuō xuéxí Yīngyǔ hěn wúliáo.	I've heard that studying English is very boring.
1945	学习数学很无聊。	Xuéxí shùxué hěn wúliáo.	Studying math is very boring.
1946	学习英语无聊吗？	Xuéxí Yīngyǔ wúliáo ma?	Is studying English boring?
1947	他已到结婚的年龄。	Tā yǐ dào jiéhūn de niánlíng.	He's already reached the age of marriage.
1948	他还不到结婚的年龄。	Tā hái bù dào jiéhūn de niánlíng. (also mei)	He still hasn't reached the age for marriage.
1949	得不到的东西就最想得到。	dé&nbsp;bù dào de dōngxi, jiù zuì xiǎng dédào.	The things that we don't obtain, we most want to obtain.
1950	他们的平均年龄是多少？	Tāmen de píngjūn niánlíng shì duōshao?	What is their average age?
1951	他们跑步的速度很平均。	Tāmen pǎobù de sùdù hěn píngjūn.	They run at an average speed.
1952	他每个月平均要花掉五百元。	Tā měi gè yuè píngjūn yào huādiào wǔ bǎi yuán.	He'll spend an average of 500 Yuan every month.
1953	A你想不想喝白酒?<br/>B不想。	Nǐ xiǎng bù xiǎng hē báijiǔ?<br />Bù xiǎng.	Do you want to drink some White liquor?<br />I don't want to.
1954	A你不喜欢喝白酒吗?<br/>B我不太喜欢喝。	Nǐ bù xǐhuan hē báijiǔ ma?<br />Wǒ bú tài xǐhuan hē.	Do you not like to drink White liquor?<br />I don't like to drink it that much.
1955	下班时间，地铁里的人超级多。	Xiàbān shíjiān, dìtiě li de rén chāojí duō.	When work is letting out, there are super many people in the subway.
1956	条约上写得很清楚。	Tiáoyuē shàng xiěde hěn qīngchu.	It is clearly written in the treaty.
1957	你教多少课时？	Nǐ jiāo duōshǎo kèshí?	How many class periods do you teach?
1958	周小姐来自中国北方。	Zhōu xiǎojiě láizì Zhōngguó běifāng. (also bei3bu4)	Ms. Zhou comes from north China.
1959	他们很穷。	Tāmen hěn qióng.	They're very poor.
1960	爸爸安慰她，她却不开心。	Bàba ānwèi tā, tā què bù kāixīn.	Her papa comforted her, she was nevertheless unhappy.
1961	妈妈在安慰孩子。	Māma zài ānwèi háizi.	The mother is comforting the child.
1962	这部电影很恐怖。	Zhè bù diànyǐng hěn kǒngbù.	This movie is very terrifying.
1963	他是我们公司的副经理。	Tā shì wǒmen gōngsī de fùjīnglǐ.	He's the deputy manager of our company.
1964	她喜欢听广播。	Tā xǐhuān tīng guǎngbō.	She likes to listen to the radio.
1965	这个小岛很美。	Zhè gè xiǎodǎo hěn měi.	This island is very beautiful.
1966	许多年轻女孩喜欢这个歌手。	xǔduō niánqīng nǚhái xǐhuān zhè gè gēshǒu .	Many a young girl likes the singer.
1967	我也喜欢那个歌手的声音。	wǒ yě xǐhuān nà ge gēshǒu de shēngyīn .	I like that singer's voice, too.
1968	他不是歌手，但是个演员。	tā bù shì gēshǒu, dànshì ge yǎnyuán.	He is not singer, but an actor.
1969	你多久后需要它？	nǐ duōjiǔ hòu xūyào tā?	How soon do you need it?
1970	这本书我能借多久？	zhè běn shū wǒ néng jiè duōjiǔ?	How long can I borrow this book?
1971	你打算在这个国家待多久？	nǐ dǎsuan zài zhè gè guójiā dāi duōjiǔ? (dai zai not so good)	How long do you plan to stay in this country?
1972	走着去火车站要多久？	zǒu zhe qù huǒchēzhàn yào duōjiǔ ?	How long does it take to walk to the train station?
1973	去火车站要多久？	qù huǒchēzhàn yào duōjiǔ ?	How long does it take to get to the train station? <br /> How long does it take to get to the station?
1974	你准备待多久？	nǐ zhǔnbèi dāi duōjiǔ ?	You're about to stay how long?
1975	我想知道这需要用多久时间。	wǒ xiǎng zhīdào zhè xūyào yòng duōjiǔ shíjiān .	I wonder how long this is going to take.
1976	车被撞了。	Chē bèi zhuàng le.	The car was struck.
1977	我不相信，他在骗我。	Wǒ bù xiāngxìn, tā zài piàn wǒ.	I don't believe it, he's cheating me.
1978	他被骗了。	Tā bèi piàn le.	He was cheated.
1979	父亲将会接受手术。	fùqin jiānghuì jiēshòu shǒushù .	Father will undergo an operation.
1980	这条河很长。	Zhè tiáo hé hěn cháng.	This is a very long river.
1981	这座大楼的旁边有一条河。	Zhè zuò dàlóu de pángbiān yǒu yītiáo hé.	There is a river next to this building.
1982	这里有条河。	Zhèli yǒu tiáo hé.	There is a river here.
1983	喜欢玩游戏是孩子的天性。	Xǐhuan wánr yóuxì shì háizi de tiānxìng.	A fondness for playing games is in the nature of children.
1984	动物都有保护子女的天性。	Dòngwù dōu yǒu bǎohù zǐnǚ de tiānxìng.	It's in animals' nature to protect their young.
1985	习惯是第二天性。	xíguàn shì dì èr tiānxìng .	Habit is second nature.
1986	我们同意了第二天一早开始。	wǒmen tóngyì le dì èr tiān yī zǎo kāishǐ .	We agreed to start early the next morning.
1987	早睡早起是良好的习惯。	Zǎoshuì zǎoqǐ shì liánghǎo de xíguàn.	Going to bed early and getting up early are fine habits.
1988	爸爸只是暂时离开。	Bàba zhǐshì zànshí líkāi.	My father has just left temporarily.
1989	我弟弟上个星期通过了大学的入学考试。	Wǒ dìdi shànɡ ɡè xīngqī tōngguò le dàxué de rùxué kǎoshì.	My little brother passed his university entrance exam last week.
1990	今天是星期一。	Jīntiān shì xīngqī yī.	Today is Monday.
1991	老师给孩子们上了一堂课。	Lǎoshī gěi háizimen shàngle yī táng kè.	The teacher taught one class to the children.
1992	我明天要教四堂课。	Wǒ míngtiān yào jiāo sì táng kè.	I will teach four classes tomorrow.
1993	你为什么要买英语课本？	Nǐ wèishénme yào mǎi Yīngyǔ kèběn?	Why will you buy an English-language textbook?
1994	哪里可以买英语课本？	Nǎli kěyǐ mǎi Yīngyǔ kèběn?	Where can I buy an English textbook?
