Frequency,Character,Count,Percentile,Pin1Yin1,Meaning,Heisig,Polv’s order,Polv’s level,Dubbing,Variant,Kanji,Vocab
415,级,102018,71.80921897,ji2,level/grade/rank/step,1087,434,9,Pleasant,級,Variant_WK_L11,"上级 上級 shàng jí higher authorities superiors<br>高级 高級 gāo jí high level high grade advanced high-ranking<br>年级 年級 nián jí grade year (in school, college etc)<br>等级 等級 děng jí grade rank status<br>级别 級別 jí bié (military) rank level grade<br>初级 初級 chū jí junior primary<br>超级 超級 chāo jí super- ultra- hyper-<br>"
424,约,99148,72.27532402,yao1/yue1,"weigh, appointment/agreement/to arrange/to restrict/approximately",1090,435,9,Pleasant,約,Variant_WK_L14,大约 大約 dà yuē approximately probably<br>条约 條約 tiáo yuē treaty pact<br>制约 制約 zhì yuē to restrict condition<br>约会 約會 yuē huì appointment engagement date to arrange to meet<br>节约 節約 jié yuē to economize to conserve (resources) economy frugal<br>约束 約束 yuē shù to restrict to limit to to constrain restriction constraint<br>隐约 隱約 yǐn yuē vague faint indistinct<br>
460,轻,89852,74.03982743,qing1,light/easy/gentle/soft/reckless/unimportant/frivolous/small in number/unstressed/neutral/soft,1095,436,9,Pleasant,輕,,年轻 年輕 nián qīng young<br>轻 輕 qīng light easy gentle soft reckless unimportant frivolous small in number unstressed neutral to disparage<br>轻视 輕視 qīng shì contempt contemptuous to despise to scorn scornful<br>轻易 輕易 qīng yì easily lightly rashly<br>举足轻重 舉足輕重 jǔ zú qīng zhòng a foot's move sways the balance (idiom); to hold the balance of power to play the decisive role<br>轻松 輕鬆 qīng sōng light gentle relaxed effortless uncomplicated to relax to take things less seriously<br>
287,却,148679,63.66188324,que4,but/yet/however/while/to go back/to decline/to retreat/nevertheless,1101,437,9,Pleasant,卻,WK_L38,却 卻 què but yet however while to go back to decline to retreat nevertheless even though<br>冷却 冷卻 lěng què to cool off cooling<br>
365,服,116961,68.98021208,fu2,clothes/dress/garment/submit/take (medicine),1103,438,9,Pleasant,,WK_L9,"说服 說服 shuō fú to persuade to convince to talk sb over<br>制服 zhì fú to subdue to check to bring under control (in former times) what one is allowed to wear depending on social status uniform (army, party, school etc) livery (for company employees)<br>克服 kè fú (try to) overcome (hardships etc) to conquer to put up with to endure<br>服务员 服務員 fú wù yuán waiter waitress attendant customer service personnel<br>服装 服裝 fú zhuāng dress clothing costume clothes<br>服从 服從 fú cóng to obey (an order) to comply to defer<br>服气 服氣 fú qì to be convinced to accept<br>衣服 yī fu clothes<br>征服 zhēng fú to conquer to subdue to vanquish<br>舒服 shū fu comfortable feeling well<br>佩服 pèi fú to admire<br>屈服 qū fú to surrender to yield<br>羽绒服 羽絨服 yǔ róng fú down-filled garment<br>"
258,命,168358,61.28928703,ming4,life/fate,1105,439,9,Pleasant,,WK_L11,任命 rèn mìng to appoint and nominate (job) appointment<br>使命 shǐ mìng mission (diplomatic or other) set task<br>生命 shēng mìng life living biological<br>性命 xìng mìng life<br>要命 yào mìng to cause sb's death very extremely frightening annoying<br>命运 命運 mìng yùn fate destiny<br>命令 mìng lìng order command<br>命名 mìng míng to give a name to to dub to christen to designate named after naming<br>革命 gé mìng revolution revolutionary (politics)<br>拼命 pīn mìng to do one's utmost with all one's might at all costs (to work or fight) as if one's life depends on it<br>寿命 壽命 shòu mìng life span life expectancy lifetime (of a machine)<br>
378,令,114570,69.75869669,ling4,make or cause to be/order/command/decree/honorable,1113,440,9,Pleasant,,WK_L11,指令 zhǐ lìng order command instruction<br>命令 mìng lìng order command<br>司令 sī lìng commanding officer<br>夏令营 夏令營 xià lìng yíng summer camp<br>
329,领,130993,66.69495721,ling3,neck/collar/to lead/to receive,1116,441,9,Pleasant,領,Variant_WK_L22,本领 本領 běn lǐng skill ability capability<br>系领带 係領帶 jì lǐng dài to tie a tie<br>带领 帶領 dài lǐng to guide to lead<br>领导 領導 lǐng dǎo lead leading to lead leadership leader<br>领会 領會 lǐng huì to understand to comprehend to grasp<br>领先 領先 lǐng xiān to lead to be in front<br>领土 領土 lǐng tǔ territory<br>占领 佔領 zhàn lǐng to occupy (a territory) to hold<br>率领 率領 shuài lǐng to lead to command to head<br>领域 領域 lǐng yù domain sphere field territory area<br>领事馆 領事館 lǐng shì guǎn consulate<br>领悟 領悟 lǐng wù to understand to comprehend<br>领袖 領袖 lǐng xiù leader<br>纲领 綱領 gāng lǐng program (i.e. plan of action) guiding principle<br>
352,根,120778,68.17930106,gen1,radical (chem.)/root/basis,1145,442,9,Pleasant,,WK_L12,"根据 根據 gēn jù according to based on basis foundation<br>根 gēn root basis classifier for long slender objects, e.g. cigarettes, guitar strings radical (chemistry)<br>根本 gēn běn fundamental basic root simply absolutely (not) (not) at all<br>根源 gēn yuán origin root (cause)<br>归根到底 歸根到底 guī gēn dào dǐ after all in the final analysis ultimately<br>根深蒂固 gēn shēn dì gù deep-rooted (problem etc)<br>"
293,即,146459,64.11908718,ji2,namely/right away/to approach/to draw near,1146,443,9,Pleasant,卽,WK_L43,立即 lì jí immediately<br>即使 jí shǐ even if even though<br>即便 jí biàn even if even though right away immediately<br>即将 即將 jí jiāng on the eve of to be about to to be on the verge of<br>随即 隨即 suí jí immediately presently following which<br>
281,眼,152079,63.19847736,yan3,eye,1150,444,9,Pleasant,,WK_L32,心眼儿 心眼兒 xīn yǎn r one's thoughts mind intention willingness to accept new ideas baseless suspicions<br>眼神 yǎn shén expression or emotion showing in one's eyes meaningful glance wink eyesight (dialect)<br>眼光 yǎn guāng gaze insight foresight vision way of looking at things<br>眼色 yǎn sè signal made with one's eyes meaningful glance<br>眼睛 yǎn jing eye<br>眼镜 眼鏡 yǎn jìng spectacles eyeglasses<br>耀眼 yào yǎn to dazzle dazzling<br>
458,乎,90127,73.94686244,hu1,(interrog. part.),1163,445,9,Pleasant,,,几乎 幾乎 jī hū almost nearly practically<br>在乎 zài hu to care about equivalent of 在於|在于[zai4 yu2]<br>似乎 sì hū apparently to seem to appear as if seemingly<br>
348,风,121803,67.92919514,feng1,wind/news/style/custom/manner,1168,446,9,Pleasant,風,Variant_WK_L7,"作风 作風 zuò fēng style style of work way<br>台风 颱風 tái fēng hurricane typhoon<br>风格 風格 fēng gé style<br>风度 風度 fēng dù elegance (for men) elegant demeanor grace poise<br>风光 風光 fēng guāng scene view sight landscape to be well-regarded to be well-off grand (dialect) impressive (dialect)<br>风气 風氣 fēng qì general mood atmosphere common practice<br>风土人情 風土人情 fēng tǔ rén qíng local conditions and customs (idiom)<br>威风 威風 wēi fēng might awe-inspiring authority impressive<br>风险 風險 fēng xiǎn risk hazard<br>风景 風景 fēng jǐng scenery landscape<br>风味 風味 fēng wèi distinctive flavor distinctive style<br>风趣 風趣 fēng qù charm humor wit humorous witty<br>麦克风 麥克風 mài kè fēng microphone (loanword)<br>风暴 風暴 fēng bào storm violent commotion fig. crisis (e.g. revolution, uprising, financial crisis etc)<br>风俗 風俗 fēng sú social custom<br>刮风 颳風 guā fēng to be windy<br>一帆风顺 一帆風順 yī fān fēng shùn propitious wind throughout the journey (idiom) plain sailing to go smoothly have a nice trip!<br>"
418,离,100744,71.96550771,li2,to leave/to depart/to go away/from,1178,447,9,Pleasant,離,Variant_WK_L31,"离 離 lí to leave to part from to be away from (in giving distances) from without (sth) independent of one of the Eight Trigrams 八卦[ba1 gua4], symbolizing fire ☲<br>离开 離開 lí kāi to depart to leave<br>脱离 脫離 tuō lí to separate oneself from to break away from diastasis (medicine) abscission abjunction (botany)<br>离婚 離婚 lí hūn to divorce divorced from (one's spouse)<br>距离 距離 jù lí distance to be apart from<br>隔离 隔離 gé lí to separate to isolate<br>"
368,议,116810,69.16141607,yi4,criticize/discuss,1181,448,9,Pleasant,議,Variant_WK_L20,建议 建議 jiàn yì to propose to suggest to recommend proposal suggestion recommendation<br>会议 會議 huì yì meeting conference<br>提议 提議 tí yì proposal suggestion to propose to suggest<br>议论 議論 yì lùn to comment to talk about to discuss discussion<br>不可思议 不可思議 bù kě sī yì inconceivable (idiom); unimaginable unfathomable<br>争议 爭議 zhēng yì controversy dispute to dispute<br>协议 協議 xié yì agreement pact protocol<br>抗议 抗議 kàng yì to protest protest<br>倡议 倡議 chàng yì to suggest to initiate proposal initiative<br>
362,亲,118451,68.79811147,qin1/qing4,"dear/intimate/parent/relation/closely related, parents-in-law of one's offspring",1188,449,9,Pleasant,榛親,Variant_WK_L10,亲切 親切 qīn qiè amiable cordial close and dear familiar<br>亲自 親自 qīn zì personally in person oneself<br>亲爱 親愛 qīn ài dear beloved darling<br>母亲 母親 mǔ qīn mother<br>亲密 親密 qīn mì intimate close<br>亲热 親熱 qīn rè affectionate intimate warmhearted<br>父亲 父親 fù qīn father<br>亲戚 親戚 qīn qi a relative (i.e. family relation)<br>
387,叫,110131,70.27912103,jiao4,to (be) call(ed),1192,450,9,Pleasant,呌,WK_L44,叫 jiào to shout to call to order to ask to be called by (indicates agent in the passive mood)<br>
351,收,120897,68.11688479,shou1,to receive/to accept/to collect/in care of (used on address line after name),1193,451,10,Pleasant,収,Variant_WK_L23,回收 huí shōu to recycle to reclaim to retrieve to recover to recall (a defective product)<br>收 shōu to receive to accept to collect to put away to restrain to stop in care of (used on address line after name)<br>收入 shōu rù to take in income revenue<br>收据 收據 shōu jù receipt<br>收获 收穫 shōu huò to harvest to reap to gain crop harvest profit gain bonus reward<br>收音机 收音機 shōu yīn jī radio<br>收益 shōu yì earnings profit<br>验收 驗收 yàn shōu to inspect and accept acceptance<br>征收 徵收 zhēng shōu to levy (a fine) to impose (a tariff)<br>吸收 xī shōu to absorb to assimilate to ingest to recruit<br>招收 zhāo shōu to hire to recruit<br>收藏 shōu cáng to hoard to collect collection to bookmark (Internet)<br>丰收 豐收 fēng shōu bumper harvest<br>收缩 收縮 shōu suō to pull back to shrink to contract (physiology) systole<br>收拾 shōu shi to put in order to tidy up to pack to repair (coll.) to sort sb out to fix sb<br>
319,该,136053,66.00534517,gai1,that/the above-mentioned/most likely/to deserve/should/ought to/owe,1198,452,10,Pleasant,該,Variant_WK_L55,活该 活該 huó gāi (coll.) serve sb right deservedly ought should<br>应该 應該 yīng gāi ought to should must<br>
328,术,131634,66.62726197,shu4/zhu2,"method/technique, Atractylis lancea var. ovata",1199,453,10,Pleasant,術,Variant_WK_L14,学术 學術 xué shù learning science academic<br>战术 戰術 zhàn shù tactics<br>美术 美術 měi shù art fine arts painting<br>手术 手術 shǒu shù (surgical) operation surgery<br>技术 技術 jì shù technology technique skill<br>武术 武術 wǔ shù military skill or technique (in former times) all kinds of martial art sports (some claiming spiritual development) self-defense tradition of choreographed fights from opera and film (recent usage) also called kungfu 功夫<br>艺术 藝術 yì shù art<br>魔术 魔術 mó shù magic<br>
497,青,82619,75.67775466,qing1,"green (blue, black)",1208,454,10,Pleasant,靑,WK_L5,青 qīng nature's color green or blue greenish black youth young (of people)<br>青少年 qīng shào nián adolescent youth teenager<br>青春 qīng chūn youth youthfulness<br>
435,精,97135,72.83326902,jing1,energy/perfect/excellent/refined/very/proficient,1209,455,10,Pleasant,,WK_L28,精力 jīng lì energy<br>精神 jīng shén spirit mind consciousness thought mental psychological essence gist<br>精华 精華 jīng huá best feature most important part of an object quintessence essence soul<br>精确 精確 jīng què accurate precise<br>精通 jīng tōng proficient<br>精心 jīng xīn with utmost care fine meticulous detailed<br>无精打采 無精打采 wú jīng dǎ cǎi dispirited and downcast (idiom); listless in low spirits washed out<br>精密 jīng mì accuracy exact precise refined<br>精打细算 精打細算 jīng dǎ xì suàn meticulous planning and careful accounting (idiom)<br>精致 精緻 jīng zhì delicate fine exquisite refined<br>精益求精 jīng yì qiú jīng to perfect sth that is already outstanding (idiom); constantly improving<br>精简 精簡 jīng jiǎn to simplify to reduce<br>酒精 jiǔ jīng alcohol ethanol CH3CH2OH ethyl alcohol grain alcohol<br>博大精深 bó dà jīng shēn wide-ranging and profound broad and deep<br>精彩 jīng cǎi wonderful marvelous brilliant<br>聚精会神 聚精會神 jù jīng huì shén to concentrate one's attention (idiom)<br>
421,请,100226,72.12114117,qing3,"to ask/to invite/please (do sth)/to treat (to a meal, etc)/to request",1210,456,10,Pleasant,請,Variant_WK_L29,请 請 qǐng to ask to invite please (do sth) to treat (to a meal etc) to request<br>请求 請求 qǐng qiú to request to ask request<br>请教 請教 qǐng jiào to ask for guidance to consult<br>请示 請示 qǐng shì to ask for instructions<br>请假 請假 qǐng jià to request leave of absence<br>申请 申請 shēn qǐng to apply for sth application (form etc)<br>邀请 邀請 yāo qǐng to invite invitation<br>请帖 請帖 qǐng tiě invitation card written invitation<br>请柬 請柬 qǐng jiǎn invitation card written invitation<br>
335,清,127716,67.0923779,qing1,clear/distinct/complete/pure,1213,457,10,Pleasant,淸,WK_L28,"清理 qīng lǐ to clear up to tidy up to dispose of<br>清真 qīng zhēn Islamic Muslim halal (of food) clean pure<br>清除 qīng chú to clear away to eliminate to get rid of<br>清楚 qīng chu clear distinct to understand thoroughly to be clear about<br>清醒 qīng xǐng clear-headed sober awake<br>清淡 qīng dàn light (of food, not greasy or strongly flavored) insipid slack (sales)<br>清晨 qīng chén early morning<br>清洁 清潔 qīng jié clean<br>清晰 qīng xī clear distinct<br>澄清 chéng qīng clear (of liquid) limpid to clarify to make sth clear to be clear (about the facts)<br>清澈 qīng chè clear limpid<br>"
395,击,107513,70.72803574,ji1,to hit/to strike/to break,1234,458,10,Pleasant,擊,,打击 打擊 dǎ jī to hit to strike to attack to crack down on sth blow (psychological) shock percussion (music)<br>攻击 攻擊 gōng jī to attack to accuse to charge an attack (terrorist or military)<br>冲击 衝擊 chōng jī to attack to batter (of waves) to pound against shock impact<br>射击 射擊 shè jī to shoot to fire (a gun)<br>袭击 襲擊 xí jī attack (esp. surprise attack) raid to attack<br>
485,专,84361,75.16135556,zhuan1,"for a particular person, occasion, purpose/focused on one thing/special/expert/particular (to sth)/concentrated/specialized, concentrated/specialized",1236,459,10,Pleasant,專,,专门 專門 zhuān mén specialist specialized customized<br>专业 專業 zhuān yè specialty specialized field main field of study (at university) major professional<br>专家 專家 zhuān jiā expert specialist<br>专心 專心 zhuān xīn to concentrate absorption concentration engrossed<br>专长 專長 zhuān cháng specialty special knowledge or ability<br>专程 專程 zhuān chéng specifically specially (for that purpose)<br>专利 專利 zhuān lì patent sth uniquely enjoyed (or possessed etc) by a certain group of people monopoly<br>专题 專題 zhuān tí special topic<br>
332,传,128186,66.89414015,chuan2/zhuan4,"to pass on/to spread/to transmit/to infect/to transfer/to circulate/to pass on/to conduct (electricity), biography",1237,460,10,Pleasant,傳,,流传 流傳 liú chuán to spread to circulate to hand down<br>传真 傳真 chuán zhēn fax facsimile<br>传说 傳說 chuán shuō legend folklore tradition it is said they say that...<br>传统 傳統 chuán tǒng tradition traditional convention conventional<br>传达 傳達 chuán dá to pass on to convey to relay to transmit transmission<br>传记 傳記 zhuàn jì biography<br>传单 傳單 chuán dān leaflet flier pamphlet<br>宣传 宣傳 xuān chuán to disseminate to give publicity to propaganda<br>传授 傳授 chuán shòu to impart to pass on to teach<br>遗传 遺傳 yí chuán heredity inheritance to transmit<br>传染 傳染 chuán rǎn to infect contagious<br>传播 傳播 chuán bō to disseminate to propagate to spread<br>
376,转,115087,69.64016995,zhuan3/zhuan4,"to convey/to forward (mail)/to transfer/to turn/to shift, to revolve/to turn/to circle about/to walk about",1238,461,10,Pleasant,轉,,"周转 周轉 zhōu zhuǎn turnover (in cash or personnel) to have enough resources to cover a need<br>转 轉 zhuǎn to turn to change direction to transfer to forward (mail)<br>转变 轉變 zhuǎn biàn to change to transform shift transformation<br>转告 轉告 zhuǎn gào to pass on to communicate to transmit<br>转达 轉達 zhuǎn dá to pass on to convey to communicate<br>转让 轉讓 zhuǎn ràng transfer (technology, goods etc) conveyancing (property)<br>转移 轉移 zhuǎn yí to shift to divert or distract (attention etc) to change to transform metastasis (medicine) to evacuate (people)<br>转折 轉折 zhuǎn zhé shift in the trend of events turnaround plot shift in a book turn in the conversation<br>旋转 旋轉 xuán zhuǎn to rotate to revolve to spin to whirl<br>扭转 扭轉 niǔ zhuǎn to reverse to turn around (an undesirable situation)<br>"
336,今,126624,67.1578153,jin1,today/modern/present/current/this/now,1244,462,10,Pleasant,,WK_L3,如今 rú jīn nowadays now<br>至今 zhì jīn so far to this day until now<br>今天 jīn tiān today at the present now<br>迄今为止 迄今為止 qì jīn wéi zhǐ so far up to now still (not)<br>
477,念,85953,74.80987191,nian4,"read aloud, to read aloud",1246,463,10,Pleasant,,WK_L14,"想念 xiǎng niàn to miss to remember with longing to long to see again<br>信念 xìn niàn faith belief conviction<br>观念 觀念 guān niàn notion thought concept sense views ideology general impressions<br>思念 sī niàn to think of to long for to miss<br>念 niàn to read to study (a subject) to attend (a school) to read aloud to miss (sb) idea remembrance twenty (banker's anti-fraud numeral corresponding to 廿, 20)<br>纪念 紀念 jì niàn to commemorate to remember<br>留念 liú niàn to keep as a souvenir to recall fondly<br>怀念 懷念 huái niàn to cherish the memory of to think of reminisce<br>概念 gài niàn concept idea<br>悬念 懸念 xuán niàn suspense in a movie, play etc concern for sb's welfare<br>"
307,南,139078,65.153521,nan2,south,1259,464,10,Pleasant,,WK_L6,南 nán south<br>指南针 指南針 zhǐ nán zhēn compass<br>南辕北辙 南轅北轍 nán yuán běi zhé to act in a way that defeats one's purpose (idiom)<br>
283,非,149915,63.35417025,fei1,non-/not-/un-,1267,465,10,Pleasant,,WK_L17,"是非 shì fēi right and wrong quarrel<br>无非 無非 wú fēi only nothing else<br>并非 並非 bìng fēi really isn't<br>非常 fēi cháng unusual extraordinary extreme very exceptional<br>非 fēi to not be not wrong incorrect non- un- in- to reproach or blame (colloquial) to insist on simply must<br>除非 chú fēi only if (..., or otherwise, ...) only when only in the case that unless<br>非法 fēi fǎ illegal<br>"
341,候,124865,67.48248607,hou4,wait,1272,466,10,Pleasant,,WK_L25,时候 時候 shí hou time length of time moment period<br>等候 děng hòu to wait to wait for<br>气候 氣候 qì hòu climate atmosphere situation<br>问候 問候 wèn hòu to give one's respects to send a greeting<br>候选 候選 hòu xuǎn candidate (attributive)<br>伺候 cì hòu to serve to wait upon<br>
273,决,157959,62.55752374,jue2,breach (a dyke)/to decide/to determine,1273,467,10,Pleasant,決,Variant_WK_L8,解决 解決 jiě jué to settle (a dispute) to resolve to solve to dispose of to dispatch<br>表决 表決 biǎo jué to decide by vote to vote<br>决定 決定 jué dìng to decide (to do something) to resolve decision certainly<br>决心 決心 jué xīn determination resolution determined firm and resolute to make up one's mind<br>决策 決策 jué cè strategic decision decision-making policy decision to determine policy<br>坚决 堅決 jiān jué firm resolute determined<br>否决 否決 fǒu jué to veto to overrule<br>判决 判決 pàn jué judgment (by a court of law) to pass judgment on to sentence<br>决赛 決賽 jué sài finals (of a competition)<br>
366,快,116923,69.04063615,kuai4,fast/quick/swift,1274,468,10,Pleasant,,WK_L30,尽快 盡快 jǐn kuài as quickly as possible as soon as possible with all speed<br>快 kuài rapid quick speed rate soon almost to make haste clever sharp (of knives or wits) forthright plainspoken gratified pleased pleasant<br>快活 kuài huo happy cheerful<br>快乐 快樂 kuài lè happy merry<br>痛快 tòng kuài overjoyed delighted happily heartily enjoying<br>赶快 趕快 gǎn kuài at once immediately<br>凉快 涼快 liáng kuai nice and cold pleasantly cool<br>愉快 yú kuài cheerful cheerily delightful pleasant pleasantly pleasing happy delighted<br>爽快 shuǎng kuai refreshed rejuvenated frank and straightforward<br>
353,干,120564,68.24160675,gan1/gan4,"dry/to concern/shield, to work/to do/to manage, manage/stem",1277,469,10,Pleasant,乾幹,WK_L17,"才干 才幹 cái gàn ability competence<br>能干 能幹 néng gàn capable competent<br>干 幹 gàn tree trunk main part of sth to manage to work to do capable cadre to kill (slang) to fuck (vulgar)<br>干活儿 幹活兒 gàn huó r to work manual labor<br>若干 ruò gān a certain number or amount how many? how much?<br>干预 干預 gān yù to meddle to intervene intervention<br>干涉 gān shè to interfere to meddle interference<br>骨干 骨幹 gǔ gàn diaphysis (long segment of a bone) fig. backbone<br>干净 乾淨 gān jìng clean neat<br>干杯 乾杯 gān bēi to drink a toast Cheers! (proposing a toast) Here's to you! Bottoms up! lit. dry cup<br>干扰 干擾 gān rǎo to disturb to interfere perturbation interference (physics)<br>干劲 幹勁 gàn jìn enthusiasm for doing sth<br>干脆 乾脆 gān cuì straightforward clear-cut blunt (e.g. statement) you might as well simply<br>干旱 乾旱 gān hàn drought arid dry<br>干燥 乾燥 gān zào to dry (of weather, paint, cement etc) desiccation dull uninteresting arid<br>饼干 餅乾 bǐng gān biscuit cracker cookie<br>"
464,除,89272,74.22481222,chu2,remove/do away with/wipe out/divide/except,1284,470,10,Pleasant,,WK_L31,"开除 開除 kāi chú to expel<br>解除 jiě chú to remove to sack to get rid of to relieve (sb of their duties) to free to lift (an embargo) to rescind (an agreement)<br>消除 xiāo chú to eliminate to remove<br>除了 chú le besides apart from (... also...) in addition to except (for)<br>除非 chú fēi only if (..., or otherwise, ...) only when only in the case that unless<br>除 chú to get rid of to remove to exclude to eliminate to wipe out to divide except not including<br>清除 qīng chú to clear away to eliminate to get rid of<br>排除 pái chú to eliminate to remove to exclude to rule out<br>废除 廢除 fèi chú to abolish to abrogate to repeal<br>除夕 chú xī lunar New Year's Eve<br>删除 刪除 shān chú to delete to cancel<br>"
416,整,100910,71.86136776,zheng3,exactly/in good order/whole/complete/entire/in order/orderly,1289,471,10,Pleasant,,WK_L13,"完整 wán zhěng complete intact<br>调整 調整 tiáo zhěng to adjust adjustment revision<br>整理 zhěng lǐ to arrange to tidy up to sort out to straighten out to list systematically to collate (data, files) to pack (luggage)<br>整个 整個 zhěng gè whole entire total<br>整体 整體 zhěng tǐ whole entity entire body synthesis as a whole (situation, construction, team etc) global macrocosm integral holistic whole<br>整顿 整頓 zhěng dùn to tidy up to reorganize to consolidate to rectify<br>整齐 整齊 zhěng qí orderly neat even tidy<br>"
427,病,98692,72.42853893,bing4,ailment/sickness/illness/disease/fall ill/sick/defect,1292,472,10,Pleasant,,WK_L10,生病 shēng bìng to fall ill<br>毛病 máo bìng fault defect shortcomings ailment<br>病毒 bìng dú virus<br>疾病 jí bìng disease sickness ailment<br>弊病 bì bìng malady evil malpractice drawback disadvantage<br>
265,区,164775,61.89164765,ou1/qu1,"Ou (surname), area/region/district/small/distinguish",1295,473,10,Pleasant,區,WK_L15,"地区 地區 dì qū local regional district (not necessarily formal administrative unit) region area as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city)<br>社区 社區 shè qū community<br>区别 區別 qū bié difference to distinguish to discriminate to make a distinction<br>区分 區分 qū fēn to differentiate to find differing aspects<br>区域 區域 qū yù area region district<br>郊区 郊區 jiāo qū suburban district outskirts suburbs<br>"
482,医,84620,75.03039084,yi1,medical/medicine/doctor/to cure/to treat,1298,474,10,Pleasant,醫,WK_L8,医生 醫生 yī shēng doctor<br>医院 醫院 yī yuàn hospital<br>
269,形,162049,62.22910472,xing2,to appear/to look/form/shape,1304,475,10,Pleasant,,WK_L5,情形 qíng xing circumstances situation<br>形成 xíng chéng to form to take shape<br>形象 xíng xiàng image form figure visualization vivid<br>形式 xíng shì outer appearance form shape formality<br>形容 xíng róng to describe description appearance look<br>形状 形狀 xíng zhuàng form shape<br>形态 形態 xíng tài shape form pattern morphology<br>形势 形勢 xíng shì circumstances situation terrain<br>
390,影,108862,70.44841105,ying3,picture/image/reflection/shadow,1305,476,10,Pleasant,,WK_L25,合影 hé yǐng to take a joint photo group photo<br>电影 電影 diàn yǐng movie film<br>影子 yǐng zi shadow reflection<br>影响 影響 yǐng xiǎng influence effect to influence to affect (usually adversely) to disturb<br>摄影 攝影 shè yǐng to take a photograph photography to shoot (a movie)<br>
444,须,94903,73.27914504,xu1,"beard/necessary/must, beard/mustache",1307,477,10,Pleasant,須鬚,Variant_WK_L52,必须 必須 bì xū to have to must compulsory necessarily<br>须知 須知 xū zhī key information instructions it must be borne in mind<br>胡须 鬍鬚 hú xū beard<br>
360,济,119161,68.67549128,ji4,aid/ferry/frugal,1319,478,10,Pleasant,濟,,经济 經濟 jīng jì economy economic<br>救济 救濟 jiù jì emergency relief to help the needy with cash or goods<br>
371,英,116193,69.34188777,ying1,(surname)/English/brave,1323,479,10,Pleasant,,WK_L15,英明 yīng míng wise brilliant<br>英雄 yīng xióng hero<br>英勇 yīng yǒng bravery gallant valiant<br>英俊 yīng jùn handsome<br>
470,吧,87536,74.49770733,ba1/ba,"(onomat.)/dumb, (modal particle indicating polite suggestion)/...right?/...OK?",1329,480,10,Pleasant,,,吧 ba (modal particle indicating suggestion or surmise) ...right? ...OK? ...I presume.<br>酒吧 jiǔ bā bar pub saloon<br>
304,色,142231,64.93626918,se4/shai3,"color/look/appearance, color/dice",1330,481,10,Pleasant,,WK_L5,特色 tè sè characteristic distinguishing feature or quality<br>出色 chū sè remarkable outstanding<br>气色 氣色 qì sè complexion<br>眼色 yǎn sè signal made with one's eyes meaningful glance<br>角色 jué sè role character in a novel persona<br>景色 jǐng sè scenery scene landscape view<br>色彩 sè cǎi tint coloring coloration (fig.) flavor character<br>粉色 fěn sè pink white erotic beautiful woman powdered (with make-up)<br>颜色 顏色 yán sè color countenance appearance facial expression pigment dyestuff<br>棕色 zōng sè brown<br>
253,期,169806,60.85253847,qi1,"a period of time/phase/stage/(used for issue of a periodical, courses of study)/time/term/period/to hope",1336,482,10,Pleasant,逞朞,WK_L12,日期 rì qī date<br>时期 時期 shí qī period phase<br>学期 學期 xué qī term semester<br>过期 過期 guò qī to be overdue to exceed the time limit to expire (as in expiration date)<br>定期 dìng qī regularly at regular intervals<br>为期 為期 wéi qī (to be done) by (a certain date) lasting (a certain time)<br>周期 週期 zhōu qī period cycle<br>期间 期間 qī jiān period of time time time period period<br>期望 qī wàng to have expectations to earnestly hope expectation hope<br>期待 qī dài to look forward to to await expectation<br>预期 預期 yù qī to expect to anticipate<br>期限 qī xiàn time limit deadline allotted time<br>星期 xīng qī week day of the week Sunday<br>延期 yán qī to delay to extend to postpone to defer<br>
280,基,153462,63.11988519,ji1,base/foundation/basic/radical (chem.),1337,483,10,Pleasant,抍拯,WK_L14,基本 jī běn basic fundamental main elementary<br>基金 jī jīn fund<br>基因 jī yīn gene (loanword)<br>基地 jī dì base (of operations) industrial or military base al-Qaeda<br>基础 基礎 jī chǔ base foundation basis underlying<br>
296,且,144597,64.34362257,qie3,further/moreover,1343,484,10,Pleasant,,WK_L54,不但…而且… bù dàn … ér qiě … not only … but also …<br>并且 並且 bìng qiě and besides moreover furthermore in addition<br>况且 況且 kuàng qiě moreover besides in addition furthermore<br>尚且 shàng qiě (not) even yet still<br>姑且 gū qiě for the time being tentatively<br>暂且 暫且 zàn qiě for now for the time being temporarily<br>
358,组,119734,68.55210624,zu3,to form/compose/make up/group/to organize/cord,1345,485,10,Pleasant,組,Variant_WK_L7,"组 組 zǔ to form to organize group team classifier for sets, series, groups of people, batteries<br>组成 組成 zǔ chéng to form to make up to constitute<br>组合 組合 zǔ hé to assemble combination combinatorial<br>组织 組織 zǔ zhī to organize organization organized system nerve tissue<br>"
469,显,87825,74.45247003,xian3,prominent/conspicuous,1350,486,10,Pleasant,顯,,明显 明顯 míng xiǎn clear distinct obvious<br>显得 顯得 xiǎn de to seem to look to appear<br>显然 顯然 xiǎn rán clear evident obvious(ly)<br>显示 顯示 xiǎn shì to show to illustrate to display to demonstrate<br>显著 顯著 xiǎn zhù outstanding notable remarkable statistically significant<br>
420,亚,100251,72.06934587,ya4,Asia/Asian/second/next to/inferior,1351,487,10,Pleasant,亞,,亚军 亞軍 yà jūn second place (in a sports contest) runner-up<br>亚洲 亞洲 yà zhōu Asia abbr. for 亞細亞洲|亚细亚洲[Ya4 xi4 ya4 Zhou1]<br>
